LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/5/6,03:00:00,-34.1904267,18.9263583,642,,,
2013/5/6,06:00:00,-34.1866817,18.9130617,500,,,
2013/5/6,09:00:00,-34.1828617,18.8890917,350,,,
2013/5/6,12:00:00,-34.1822617,18.8833367,363,,,
2013/5/6,15:00:00,-34.1822450,18.8833767,371,,,
2013/5/6,18:00:00,-34.1902033,18.8695550,334,,,
2013/5/6,21:00:00,-34.1870917,18.8424767,395,,,
2013/5/7,03:00:00,-34.1839600,18.8271300,240,,,
2013/5/7,06:00:00,-34.2006933,18.8247533,15,,,
2013/5/7,09:00:00,-34.2116083,18.8382650,133,,,
2013/5/7,12:00:00,-34.2200283,18.8534867,553,,,
2013/5/7,15:00:00,-34.2200067,18.8534933,554,,,
2013/5/7,18:00:00,-34.2299650,18.8592600,293,,,
2013/5/7,21:00:00,-34.2455700,18.8706033,108,,,
2013/5/8,00:00:00,-34.2474850,18.8717967,159,,,
2013/5/8,03:00:00,-34.2454833,18.8784017,267,,,
2013/5/8,06:00:00,-34.2515350,18.8846217,545,,,
2013/5/8,09:00:00,-34.2618983,18.8774667,1015,,,
2013/5/8,12:00:00,-34.2639483,18.8735983,857,,,
2013/5/8,18:00:00,-34.2572533,18.8771600,,,,
2013/5/8,21:00:00,-34.2687383,18.8679700,774,,,
2013/5/9,00:00:00,-34.2688550,18.8676283,744,,,
2013/5/9,03:00:00,-34.2688283,18.8677800,745,,,
2013/5/9,06:00:00,-34.2687150,18.8677617,772,,,
2013/5/9,09:00:00,-34.2717783,18.8656583,808,,,
2013/5/9,12:00:00,-34.2795283,18.8426950,474,,,
2013/5/9,15:00:00,-34.2800350,18.8341017,362,,,
2013/5/9,18:00:00,-34.2816000,18.8322600,329,,,
2013/5/9,21:00:00,-34.3029467,18.8248283,3,,,
2013/5/10,03:00:00,-34.3020933,18.8266983,7,,,
2013/5/10,06:00:00,-34.3020550,18.8270383,14,,,
2013/5/10,09:00:00,-34.3023250,18.8270533,19,,,
2013/5/10,12:00:00,-34.3017683,18.8297217,,,,
2013/5/10,15:00:00,-34.3019417,18.8298117,26,,,
2013/5/10,18:00:00,-34.3063883,18.8392800,289,,,
2013/5/10,21:00:00,-34.3220500,18.8561617,134,,,
2013/5/11,06:00:00,-34.3291950,18.8835817,565,,,
2013/5/11,21:00:00,-34.3423983,18.9382600,280,,,
2013/5/12,00:00:00,-34.3530800,18.9671367,363,,,
2013/5/12,03:00:00,-34.3423450,18.9669350,311,,,
2013/5/12,06:00:00,-34.3190917,18.9915283,205,,,
2013/5/12,09:00:00,-34.3163717,18.9945483,216,,,
2013/5/12,15:00:00,-34.3072083,19.0014950,570,,,
2013/5/12,18:00:00,-34.2875000,19.0140067,317,,,
2013/5/12,21:00:00,-34.2501183,19.0113817,210,,,
2013/5/13,00:00:00,-34.2509900,19.0127967,215,,,
2013/5/13,03:00:00,-34.2506567,19.0127650,203,,,
2013/5/13,06:00:00,-34.2505800,19.0127233,210,,,
2013/5/13,09:00:00,-34.2506800,19.0126367,177,,,
2013/5/13,12:00:00,-34.2504517,19.0126800,196,,,
2013/5/13,15:00:00,-34.2508267,19.0127617,212,,,
2013/5/13,18:00:00,-34.2504150,19.0126783,199,,,
2013/5/13,21:00:00,-34.2504367,19.0127033,203,,,
2013/5/14,00:00:00,-34.2504750,19.0116967,210,,,
2013/5/14,03:00:00,-34.2505283,19.0117417,213,,,
2013/5/15,03:00:00,-34.2520417,18.9424750,344,,,
2013/5/15,06:00:00,-34.2520800,18.9427867,336,,,
2013/5/15,09:00:00,-34.2335000,18.9245533,519,,,
2013/5/15,12:00:00,-34.2333617,18.9219833,620,,,
2013/5/15,18:00:00,-34.2148300,18.9010900,941,,,
2013/5/15,21:00:00,-34.1845833,18.8921783,389,,,
2013/5/16,00:00:00,-34.1712300,18.9058450,365,,,
2013/5/16,03:00:00,-34.1464700,18.9283267,382,,,
2013/5/16,06:00:00,-34.1165117,18.9485500,384,,,
2013/5/16,09:00:00,-34.0937183,18.9616933,638,,,
2013/5/16,15:00:00,-34.0816083,18.9641783,685,,,
2013/5/16,18:00:00,-34.0804483,18.9655400,753,,,
2013/5/16,21:00:00,-34.0796850,18.9703000,,,,
2013/5/17,00:00:00,-34.0717183,18.9638100,901,,,
2013/5/17,03:00:00,-34.0853767,18.9481333,384,,,
2013/5/17,06:00:00,-34.1082167,18.9434483,278,,,
2013/5/17,09:00:00,-34.1193517,18.9471883,364,,,
2013/5/17,12:00:00,-34.1229733,18.9432550,289,,,
2013/5/17,15:00:00,-34.1229683,18.9436200,330,,,
2013/5/17,18:00:00,-34.1248233,18.9504483,,,,
2013/5/17,21:00:00,-34.1393117,18.9258383,242,,,
2013/5/18,00:00:00,-34.1478000,18.9260633,394,,,
2013/5/18,03:00:00,-34.1579550,18.9108017,482,,,
2013/5/19,09:00:00,-34.2101333,18.8442100,399,,,
2013/5/19,12:00:00,-34.2164350,18.8577350,489,,,
2013/5/19,15:00:00,-34.2227550,18.8599000,609,,,
2013/5/19,18:00:00,-34.2238833,18.8539467,518,,,
2013/5/19,21:00:00,-34.2441250,18.8708050,128,,,
2013/5/20,00:00:00,-34.2456183,18.8762717,195,,,
2013/5/20,03:00:00,-34.2458900,18.8764350,168,,,
2013/5/20,06:00:00,-34.2457950,18.8763583,186,,,
2013/5/20,09:00:00,-34.2458033,18.8763533,188,,,
2013/5/20,12:00:00,-34.2457050,18.8763600,181,,,
2013/5/20,18:00:00,-34.2458050,18.8763550,185,,,
2013/5/20,21:00:00,-34.2457767,18.8763183,186,,,
