LMT Date,LMT Time,Latitude,Longitude
2013/8/27,03:00:00,-33.4776367,19.1725150
2013/8/27,06:00:00,-33.4853200,19.1771783
2013/8/27,09:00:00,-33.4853200,19.1772367
2013/8/27,12:00:00,-33.4857550,19.1783183
2013/8/27,15:00:00,-33.4886783,19.1789033
2013/8/27,18:00:00,-33.4932617,19.1798150
2013/8/27,21:00:00,-33.5115183,19.1902267
2013/8/28,00:00:00,-33.5126583,19.1850717
2013/8/28,03:00:00,-33.5306817,19.1788467
2013/8/28,06:00:00,-33.5350717,19.1880683
2013/8/28,09:00:00,-33.5361133,19.1939367
2013/8/28,12:00:00,-33.5457417,19.1987400
2013/8/28,15:00:00,-33.5444783,19.1962067
2013/8/29,00:00:00,-33.5409883,19.1931533
2013/8/29,03:00:00,-33.5409600,19.1931933
2013/8/29,06:00:00,-33.5404450,19.1929183
2013/8/29,09:00:00,-33.5409000,19.1932383
2013/8/29,12:00:00,-33.5408983,19.1932150
2013/8/29,15:00:00,-33.5410117,19.1931367
2013/8/29,18:00:00,-33.5407867,19.1933133
2013/8/29,21:00:00,-33.5408367,19.1934083
2013/8/30,00:00:00,-33.5408767,19.1930233
2013/8/30,03:00:00,-33.5409617,19.1931967
2013/8/30,09:00:00,-33.5409183,19.1932283
2013/8/30,18:00:00,-33.5420250,19.1953817
2013/8/30,21:00:00,-33.5456217,19.1986550
2013/8/31,00:00:00,-33.5456367,19.1986683
2013/8/31,06:00:00,-33.5460167,19.1985050
2013/8/31,09:00:00,-33.5459650,19.1985650
2013/8/31,12:00:00,-33.5459367,19.1985500
2013/8/31,15:00:00,-33.5507550,19.2006233
2013/8/31,18:00:00,-33.5546633,19.2009850
2013/8/31,21:00:00,-33.5700967,19.1945700
2013/9/1,00:00:00,-33.5735217,19.1922600
2013/9/1,03:00:00,-33.5734967,19.1922117
2013/9/1,06:00:00,-33.5720733,19.1933100
2013/9/1,09:00:00,-33.5687600,19.1927633
2013/9/1,12:00:00,-33.5650333,19.1919683
2013/9/1,15:00:00,-33.5596250,19.2006283
2013/9/1,21:00:00,-33.5584683,19.2015950
2013/9/2,00:00:00,-33.5585333,19.2019100
2013/9/2,03:00:00,-33.5583250,19.2018050
2013/9/2,06:00:00,-33.5584550,19.2016983
2013/9/2,09:00:00,-33.5584267,19.2017517
2013/9/2,12:00:00,-33.5584533,19.2017300
2013/9/2,15:00:00,-33.5585133,19.2017433
2013/9/2,18:00:00,-33.5584883,19.2018200
2013/9/2,21:00:00,-33.5585017,19.2017200
2013/9/3,00:00:00,-33.5586733,19.2017583
2013/9/3,03:00:00,-33.5586233,19.2018000
2013/9/3,06:00:00,-33.5577850,19.2019067
2013/9/3,09:00:00,-33.5578467,19.2014250
2013/9/3,12:00:00,-33.5580250,19.2011000
2013/9/3,15:00:00,-33.5582600,19.2010500
2013/9/3,18:00:00,-33.5586850,19.2009567
2013/9/3,21:00:00,-33.5618267,19.2137883
2013/9/4,00:00:00,-33.5789333,19.2244333
2013/9/4,06:00:00,-33.5762617,19.2238367
2013/9/4,09:00:00,-33.5763400,19.2239350
2013/9/4,12:00:00,-33.5762917,19.2238083
2013/9/4,15:00:00,-33.5799617,19.2210017
2013/9/4,18:00:00,-33.5805383,19.2206950
2013/9/4,21:00:00,-33.5785783,19.2331633
2013/9/5,00:00:00,-33.5786067,19.2332433
2013/9/5,03:00:00,-33.5774183,19.2317800
2013/9/5,06:00:00,-33.5784500,19.2254733
2013/9/5,09:00:00,-33.5784650,19.2250650
2013/9/5,12:00:00,-33.5784750,19.2250433
2013/9/5,15:00:00,-33.5785017,19.2250467
2013/9/5,18:00:00,-33.5808867,19.2238350
2013/9/5,21:00:00,-33.5783283,19.2339150
2013/9/6,00:00:00,-33.5783817,19.2337917
2013/9/6,03:00:00,-33.5782400,19.2301900
2013/9/6,06:00:00,-33.5785183,19.2250133
2013/9/6,09:00:00,-33.5784950,19.2250533
2013/9/6,12:00:00,-33.5785117,19.2251117
2013/9/6,21:00:00,-33.5783883,19.2335800
2013/9/7,00:00:00,-33.5767233,19.2263200
2013/9/7,03:00:00,-33.5746217,19.2213300
2013/9/7,06:00:00,-33.5659917,19.2166133
2013/9/7,09:00:00,-33.5538750,19.2014267
2013/9/7,12:00:00,-33.5539550,19.2014133
2013/9/7,15:00:00,-33.5539233,19.2013617
2013/9/7,18:00:00,-33.5531417,19.2012133
2013/9/7,21:00:00,-33.5394750,19.1978900
2013/9/8,00:00:00,-33.5301867,19.1892250
2013/9/8,03:00:00,-33.5345050,19.1883883
2013/9/8,06:00:00,-33.5346317,19.1882933
2013/9/8,09:00:00,-33.5356550,19.1865650
2013/9/8,12:00:00,-33.5380600,19.1828600
2013/9/8,15:00:00,-33.5380750,19.1828567
2013/9/8,18:00:00,-33.5420667,19.1953133
2013/9/8,21:00:00,-33.5716483,19.2210933
2013/9/9,00:00:00,-33.5893283,19.2414817
2013/9/9,03:00:00,-33.6050817,19.2476683
2013/9/9,06:00:00,-33.6109683,19.2452433
2013/9/9,09:00:00,-33.6116200,19.2449017
2013/9/9,12:00:00,-33.6118483,19.2448400
2013/9/9,15:00:00,-33.6118750,19.2448283
2013/9/9,18:00:00,-33.6163183,19.2427967
2013/9/9,21:00:00,-33.6233950,19.2517333
2013/9/10,00:00:00,-33.6263633,19.2576483
2013/9/10,03:00:00,-33.6297250,19.2581433
2013/9/10,06:00:00,-33.6297533,19.2570467
2013/9/10,09:00:00,-33.6297133,19.2571650
2013/9/10,12:00:00,-33.6295783,19.2571250
2013/9/10,15:00:00,-33.6297350,19.2571833
2013/9/10,18:00:00,-33.6297183,19.2572217
2013/9/10,21:00:00,-33.6300017,19.2575517
